logs/n101gh_telemetry.log:[2024-06-26 14:33:10] GPS: Latitude: 34.0524, Longitude: -118.2435
logs/n101gh_telemetry.log:[2024-06-26 14:34:10] GPS: Latitude: 34.0526, Longitude: -118.2433
logs/n101gh_telemetry.log:[2024-06-26 14:35:10] GPS: Latitude: 34.0528, Longitude: -118.2430
logs/n101gh_telemetry.log:[2024-06-26 14:36:10] GPS: Latitude: 34.0531, Longitude: -118.2426
logs/n101gh_telemetry.log:[2024-06-26 14:37:10] GPS: Latitude: 34.0533, Longitude: -118.2424
logs/n101gh_telemetry.log:[2024-06-26 14:38:10] GPS: Latitude: 34.0537, Longitude: -118.2423
logs/n101gh_telemetry.log:[2024-06-26 14:39:10] GPS: Latitude: 34.0542, Longitude: -118.2420
logs/n101gh_telemetry.log:[2024-06-26 14:40:10] GPS: Latitude: 34.0544, Longitude: -118.2419
logs/n101gh_telemetry.log:[2024-06-26 14:41:10] GPS: Latitude: 34.0546, Longitude: -118.2417
logs/n101gh_telemetry.log:[2024-06-26 14:42:10] GPS: Latitude: 34.0548, Longitude: -118.2413
logs/n101gh_telemetry.log:[2024-06-26 14:43:10] GPS: Latitude: 34.0552, Longitude: -118.2410
logs/n101gh_telemetry.log:[2024-06-26 14:44:10] GPS: Latitude: 34.0554, Longitude: -118.2406
logs/n101gh_telemetry.log:[2024-06-26 14:45:10] GPS: Latitude: 34.0558, Longitude: -118.2405
logs/n101gh_telemetry.log:[2024-06-26 14:46:10] GPS: Latitude: 34.0563, Longitude: -118.2401
logs/n101gh_telemetry.log:[2024-06-26 14:47:10] GPS: Latitude: 34.0567, Longitude: -118.2399
logs/n101gh_telemetry.log:[2024-06-26 14:48:10] GPS: Latitude: 34.0569, Longitude: -118.2398
logs/n101gh_telemetry.log:[2024-06-26 14:49:10] GPS: Latitude: 34.0572, Longitude: -118.2393
logs/n101gh_telemetry.log:[2024-06-26 14:50:10] GPS: Latitude: 34.0575, Longitude: -118.2390
logs/n101gh_telemetry.log:[2024-06-26 14:51:10] GPS: Latitude: 34.0577, Longitude: -118.2388
logs/n101gh_telemetry.log:[2024-06-26 14:52:10] GPS: Latitude: 34.0580, Longitude: -118.2383
logs/n101gh_telemetry.log:[2024-06-26 14:53:10] GPS: Latitude: 34.0584, Longitude: -118.2380
logs/n101gh_telemetry.log:[2024-06-26 14:54:10] GPS: Latitude: 34.0588, Longitude: -118.2376
logs/n101gh_telemetry.log:[2024-06-26 14:55:10] GPS: Latitude: 34.0592, Longitude: -118.2372
logs/n101gh_telemetry.log:[2024-06-26 14:56:10] GPS: Latitude: 34.0595, Longitude: -118.2369
logs/n101gh_telemetry.log:[2024-06-26 14:57:10] GPS: Latitude: 34.0596, Longitude: -118.2366
logs/n101gh_telemetry.log:[2024-06-26 14:58:10] GPS: Latitude: 34.0601, Longitude: -118.2364
logs/n101gh_telemetry.log:[2024-06-26 14:59:10] GPS: Latitude: 34.0605, Longitude: -118.2359
logs/n101gh_telemetry.log:[2024-06-26 15:00:10] GPS: Latitude: 34.0606, Longitude: -118.2357
logs/n101gh_telemetry.log:[2024-06-26 15:01:10] GPS: Latitude: 34.0610, Longitude: -118.2354
logs/n101gh_telemetry.log:[2024-06-26 15:02:10] GPS: Latitude: 34.0613, Longitude: -118.2351
logs/n101gh_telemetry.log:[2024-06-26 15:03:10] GPS: Latitude: 34.0608, Longitude: -118.2353
logs/n101gh_telemetry.log:[2024-06-26 15:04:10] GPS: Latitude: 34.0604, Longitude: -118.2357
logs/n101gh_telemetry.log:[2024-06-26 15:05:10] GPS: Latitude: 34.0600, Longitude: -118.2360
logs/n101gh_telemetry.log:[2024-06-26 15:06:10] GPS: Latitude: 34.0596, Longitude: -118.2363
logs/n101gh_telemetry.log:[2024-06-26 15:07:10] GPS: Latitude: 34.0592, Longitude: -118.2367
logs/n112op_telemetry.log:[2024-06-26 14:33:10] GPS: Latitude: 34.0525, Longitude: -118.2434
logs/n112op_telemetry.log:[2024-06-26 14:34:10] GPS: Latitude: 34.0527, Longitude: -118.2432
logs/n112op_telemetry.log:[2024-06-26 14:35:10] GPS: Latitude: 34.0529, Longitude: -118.2428
logs/n112op_telemetry.log:[2024-06-26 14:36:10] GPS: Latitude: 34.0533, Longitude: -118.2424
